20160518_101812T2TurboRAREhighress40001a001.nii.gz,Rata0101015T2
20160527_122800T2TurboRAREhighress50001a001.nii.gz,Rata0101018T2
20160617_134336T2TurboRAREhighress90001a001.nii.gz,Rata0101022T2
20160627_083449T2TurboRAREhighress50001a001.nii.gz,Rata0101025T2
20161212_110522T2TurboRAREhighress30001a001.nii.gz,Rata0101043T2
20161212_132356T2TurboRAREhighress30001a001.nii.gz,Rata0101045T2
20170516_122457T2TurboRAREhighress30001a001.nii.gz,Rata0101062T2
20170515_133442T2TurboRAREhighress30001a001.nii.gz,Rata0101065T2
20170317_133528T2TurboRAREhighress30001a001.nii.gz,Rata0104001T2
20170315_092414T2TurboRAREhighress30001a001.nii.gz,Rata0104002T2
20170711_124529T2TurboRAREhighress30001a001.nii.gz,Rata0104003T2
20170324_091732T2TurboRAREhighress30001a001.nii.gz,Rata0104008T2
20171121_144740T2TurboRAREhighress30001a001.nii.gz,Rata0104016T2
20180119_110451T2TurboRAREhighress90001a001.nii.gz,Rata0104017T2
20180119_120652T2TurboRAREhighress30001a001.nii.gz,Rata0104018T2
20180119_130250T2TurboRAREhighress30001a001.nii.gz,Rata0104019T2
20180119_140042T2TurboRAREhighress30001a001.nii.gz,Rata0104020T2
